fid,town,town_id,sum_acres,sum_square,shape_leng,shape_area,shape_area,shape_length
1,CANTON,50,12489.087,19.514,32125.5826298,50541640.1012,92091581.1640625,43369.12678876
2,LYNNFIELD,164,6683.367,10.443,27790.2519998,27046601.4241,49844234.5351563,37732.6376342162
3,MARBLEHEAD,168,2798.917,4.374,28931.4075481,11293625.833,20789219.3242188,39250.2345883166
4,WELLESLEY,317,6749.852,10.547,26738.5943686,27269576.387,49893361.8320313,36161.2283747188
5,DOVER,78,9867.171,15.417,37756.016717,39933244.0342,72908123.2382813,51022.5597339115
6,CONCORD,67,16532.471,25.832,36342.9715231,66904557.6467,123010545.867188,49273.8230449116
7,RANDOLPH,244,6664.926,10.414,24248.340309,26971975.0321,49151903.0351563,32740.53973163
8,CHELSEA,57,1415.922,2.212,13794.4788994,5730029.66375,10513681.9492188,18684.8998585692
9,NAHANT,196,802.923,1.255,20844.5392694,3249309.4675,5968065.9609375,28258.0140353857
10,WENHAM,320,5210.419,8.141,25532.5297275,21085800.09,38938831.0820313,34668.998297749
11,SAUGUS,262,7257.752,11.34,54393.0900133,29371041.9841,54014765.2734375,73756.8793383813
12,LEXINGTON,155,10648.621,16.638,26948.2278419,43093413.6387,79194021.78125,36542.0657724165
13,BELMONT,26,3017.347,4.715,16672.5926804,12218653.779,22418929.6445313,22576.5587495664
14,MILTON,189,8516.373,13.307,30936.5726131,34464524.1851,62930174.0,41798.0474338363
15,WESTWOOD,335,7138.707,11.154,29416.0656508,28965192.7148,52851177.6171875,39742.5653641191
16,DANVERS,71,8822.898,13.785,44773.9692797,35705009.1823,65883300.328125,60813.3824315993
17,NEEDHAM,199,8130.187,12.703,28960.0128249,32947766.8198,60229893.9609375,39152.3677743546
18,READING,246,6393.727,9.99,23126.4713027,25874497.0427,47683937.734375,31406.349881881
19,QUINCY,243,11080.397,17.313,87188.9342746,44840777.0498,81897409.7539063,117828.167366251
20,PEABODY,229,10754.126,16.803,29568.6219334,43520406.4086,80199920.2148438,40132.4219522375
21,MEDFIELD,175,9379.074,14.655,33821.8547328,37955730.4077,69177683.6171875,45652.3448480073
22,SWAMPSCOTT,291,1984.475,3.101,14765.4861437,8030877.99235,14772035.1640625,20021.3653547233
23,CAMBRIDGE,49,4546.96,7.105,26475.6845563,18400398.6685,33739879.8828125,35846.8791636192
24,BURLINGTON,48,7591.924,11.862,23754.8720487,30723422.276,56560991.6953125,32249.7222912652
25,MALDEN,165,3243.977,5.069,18699.870179,13127931.5015,24111360.3984375,25339.5428763848
26,STONEHAM,284,4253.6,6.646,18559.0567177,17213714.0417,31661740.8359375,25180.3654956099
27,HAMILTON,119,9536.346,14.9,37649.3460694,38592243.6822,71331418.5351563,51172.626400508
28,BRAINTREE,40,9234.277,14.429,31787.1135123,37369755.5595,68153073.421875,42924.7527755778
29,WALPOLE,307,13499.349,21.093,37932.0536885,54554219.6293,99314709.3125,51197.7245679825
30,NORFOLK,208,9853.371,15.396,28905.2053809,39875151.8888,72523224.5195313,38981.53378572
31,SALEM,258,5331.594,8.332,53262.848552,21609408.8934,39793398.6015625,72295.4960658061
32,SHARON,266,15649.885,24.453,35399.721589,63334448.6462,115163134.117188,47754.3090419128
33,REVERE,248,3944.187,6.164,50280.7276757,15961564.4668,29307188.2734375,68143.2013784715
