Name,Municipality,Line,Latitude,Longitude
Alewife,Cambridge,Red,42.39583,-71.141287
Davis,Somerville,Red,42.39674,-71.121815
Porter,Cambridge,Red,42.3884,-71.119149
Harvard,Cambridge,Red,42.373362,-71.118956
Central,Cambridge,Red,42.365486,-71.103802
Kendall/MIT,Cambridge,Red,42.362491,-71.086176
Charles/MGH,West End,Red,42.361166,-71.070628
Park Street,Downtown,Red,42.356395,-71.062424
Downtown Crossing,Downtown,Red,42.355518,-71.060225
South Station,Downtown,Red,42.352271,-71.055242
Broadway,South Boston,Red,42.342622,-71.056967
Andrew,South Boston,Red,42.330154,-71.057655
JFK/UMass,Dorchester,Red,42.320685,-71.052391
Savin Hill,Dorchester,Red,42.31129,-71.053331
Fields Corner,Dorchester,Red,42.300093,-71.061667
Shawmut,Dorchester,Red,42.293126,-71.065738
Ashmont,Dorchester,Red,42.28452,-71.063777
North Quincy,Quincy,Red,42.275275,-71.029583
Wollaston,Quincy,Red,42.266514,-71.020337
Quincy Center,Quincy,Red,42.251809,-71.005409
Quincy Adams,Quincy,Red,42.233391,-71.007153
Braintree,Braintree,Red,42.207854,-71.001138
Ashmont,Dorchester,Mattapan,42.28452,-71.063777
Cedar Grove,Dorchester,Mattapan,42.279629,-71.060394
Butler,Dorchester,Mattapan,42.272429,-71.062519
Milton,Milton,Mattapan,42.270349,-71.067266
Central Avenue,Milton,Mattapan,42.270027,-71.073444
Valley Road,Milton,Mattapan,42.268347,-71.081343
Capen Street,Milton,Mattapan,42.267563,-71.087338
Mattapan,Mattapan,Mattapan,42.26762,-71.092486
Forest Hills,Jamaica Plain,Orange,42.300713,-71.113943
Green Street,Jamaica Plain,Orange,42.310525,-71.107414
Stony Brook,Jamaica Plain,Orange,42.317062,-71.104248
Jackson Square,Roxbury,Orange,42.323132,-71.099592
Roxbury Crossing,Roxbury,Orange,42.331397,-71.095451
Ruggles,Roxbury,Orange,42.336377,-71.088961
Massachusetts Avenue,South End,Orange,42.341512,-71.083423
Back Bay,South End,Orange,42.34735,-71.075727
Tufts Medical Center,Downtown,Orange,42.349662,-71.063917
Chinatown,Downtown,Orange,42.352547,-71.062752
Downtown Crossing,Downtown,Orange,42.355518,-71.060225
State,Downtown,Orange,42.358978,-71.057598
Haymarket,Downtown,Orange,42.363021,-71.05829
North Station,West End,Orange,42.365577,-71.06129
Community College,Charlestown,Orange,42.373622,-71.069533
Sullivan Square,Charlestown,Orange,42.383975,-71.076994
Assembly,Somerville,Orange,42.392811,-71.077257
Wellington,Medford,Orange,42.40237,-71.077082
Malden Center,Malden,Orange,42.426632,-71.07411
Oak Grove,Malden,Orange,42.43668,-71.071097
Government Center,Downtown,Green-B,42.359705,-71.059215
Park Street,Downtown,Green-B,42.356395,-71.062424
Boylston,Downtown,Green-B,42.35302,-71.06459
Arlington,Downtown,Green-B,42.351902,-71.070893
Copley,Back Bay,Green-B,42.349974,-71.077447
Hynes Convention Center,Fenway,Green-B,42.347888,-71.087903
Kenmore,Fenway,Green-B,42.348949,-71.095169
Blandford Street,Fenway,Green-B,42.349293,-71.100258
Boston University East,Fenway,Green-B,42.349735,-71.103889
Boston University Central,Fenway,Green-B,42.350082,-71.106865
Amory Street,Brookline,Green-B,42.350992,-71.114748
Babcock Street,Brookline,Green-B,42.351616,-71.119924
Packard's Corner,Allston,Green-B,42.351967,-71.125031
Harvard Avenue,Allston,Green-B,42.350243,-71.131355
Griggs Street,Allston,Green-B,42.348545,-71.134949
Allston Street,Allston,Green-B,42.348701,-71.137955
Warren Street,Brighton,Green-B,42.348343,-71.140457
Washington Street,Brighton,Green-B,42.343864,-71.142853
Sutherland Road,Brighton,Green-B,42.341614,-71.146202
Chiswick Road,Brighton,Green-B,42.340805,-71.150711
Chestnut Hill Avenue,Brighton,Green-B,42.338169,-71.15316
South Street,Brighton,Green-B,42.3396,-71.157661
Boston College,Newton,Green-B,42.340081,-71.166769
Cleveland Circle,Brookline,Green-C,42.336142,-71.149326
Englewood Avenue,Brookline,Green-C,42.336971,-71.14566
Dean Road,Brookline,Green-C,42.337807,-71.141853
Tappan Street,Brookline,Green-C,42.338459,-71.138702
Washington Square,Brookline,Green-C,42.339394,-71.13533
Fairbanks Street,Brookline,Green-C,42.339725,-71.131073
Brandon Hall,Brookline,Green-C,42.340023,-71.129082
Summit Avenue,Brookline,Green-C,42.34111,-71.12561
Coolidge Corner,Brookline,Green-C,42.342116,-71.121263
Saint Paul Street,Brookline,Green-C,42.343327,-71.116997
Kent Street,Longwood,Green-C,42.344074,-71.114197
Hawes Street,Longwood,Green-C,42.344906,-71.111145
Saint Mary's Street,Longwood,Green-C,42.345974,-71.107353
Kenmore,Fenway,Green-C,42.348949,-71.095169
Hynes Convention Center,Fenway,Green-C,42.347888,-71.087903
